<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.12.05	22:58:00	1.07959	1.07964	1.07952	1.07953	23	0	0
2023.12.05	22:59:00	1.07954	1.07955	1.07945	1.07952	40	0	0
2023.12.05	23:00:00	1.07951	1.07951	1.07941	1.07951	29	0	0
2023.12.05	23:01:00	1.07952	1.07955	1.07950	1.07952	13	0	6
2023.12.05	23:02:00	1.07953	1.07966	1.07952	1.07964	16	0	5
2023.12.05	23:03:00	1.07965	1.07966	1.07962	1.07962	14	0	5
2023.12.05	23:04:00	1.07962	1.07965	1.07962	1.07965	4	0	5
2023.12.05	23:05:00	1.07967	1.07967	1.07961	1.07964	14	0	5
2023.12.05	23:06:00	1.07965	1.07965	1.07961	1.07961	10	0	6
2023.12.05	23:07:00	1.07958	1.07960	1.07943	1.07943	16	0	6
2023.12.05	23:08:00	1.07942	1.07942	1.07931	1.07935	19	0	6
2023.12.05	23:09:00	1.07936	1.07936	1.07935	1.07935	4	0	6
2023.12.05	23:10:00	1.07935	1.07940	1.07935	1.07939	7	0	6
2023.12.05	23:11:00	1.07937	1.07940	1.07937	1.07938	7	0	6
2023.12.05	23:12:00	1.07940	1.07946	1.07938	1.07941	10	0	6
2023.12.05	23:13:00	1.07945	1.07957	1.07945	1.07953	12	0	6
2023.12.05	23:14:00	1.07954	1.07960	1.07952	1.07960	12	0	6
2023.12.05	23:15:00	1.07959	1.07978	1.07959	1.07977	21	0	5
2023.12.05	23:16:00	1.07974	1.07976	1.07951	1.07951	14	0	6
2023.12.05	23:17:00	1.07956	1.07961	1.07956	1.07960	10	0	6
2023.12.05	23:18:00	1.07956	1.07957	1.07951	1.07956	10	0	6
2023.12.05	23:19:00	1.07957	1.07957	1.07953	1.07956	10	0	6
2023.12.05	23:20:00	1.07956	1.07957	1.07956	1.07956	3	0	6
2023.12.05	23:21:00	1.07955	1.07955	1.07951	1.07951	7	0	5
2023.12.05	23:22:00	1.07956	1.07959	1.07951	1.07951	7	0	5
2023.12.05	23:23:00	1.07951	1.07956	1.07951	1.07956	3	0	7
2023.12.05	23:24:00	1.07955	1.07956	1.07954	1.07956	12	0	7
2023.12.05	23:25:00	1.07954	1.07954	1.07950	1.07951	11	0	7
2023.12.05	23:26:00	1.07950	1.07951	1.07950	1.07950	5	0	7
2023.12.05	23:27:00	1.07950	1.07951	1.07950	1.07951	4	0	7
2023.12.05	23:28:00	1.07951	1.07952	1.07951	1.07951	3	0	7
2023.12.05	23:29:00	1.07952	1.07961	1.07950	1.07958	13	0	7
2023.12.05	23:30:00	1.07956	1.07962	1.07955	1.07960	18	0	9
2023.12.05	23:31:00	1.07961	1.07961	1.07955	1.07955	15	0	9
2023.12.05	23:32:00	1.07956	1.07963	1.07955	1.07963	16	0	9
2023.12.05	23:33:00	1.07961	1.07965	1.07961	1.07965	11	0	9
2023.12.05	23:34:00	1.07964	1.07969	1.07964	1.07969	8	0	9
2023.12.05	23:35:00	1.07970	1.07974	1.07965	1.07973	15	0	7
2023.12.05	23:36:00	1.07973	1.07973	1.07970	1.07970	3	0	7
2023.12.05	23:37:00	1.07970	1.07979	1.07968	1.07975	20	0	7
2023.12.05	23:38:00	1.07975	1.07976	1.07974	1.07975	17	0	7
2023.12.05	23:39:00	1.07975	1.07980	1.07974	1.07975	14	0	8
2023.12.05	23:40:00	1.07975	1.07978	1.07975	1.07977	14	0	6
2023.12.05	23:41:00	1.07977	1.07984	1.07977	1.07982	15	0	9
2023.12.05	23:42:00	1.07981	1.07982	1.07980	1.07980	6	0	8
2023.12.05	23:43:00	1.07982	1.07982	1.07970	1.07970	9	0	8
2023.12.05	23:44:00	1.07969	1.07972	1.07969	1.07970	15	0	8
2023.12.05	23:45:00	1.07970	1.07974	1.07970	1.07973	17	0	7
2023.12.05	23:46:00	1.07974	1.07976	1.07970	1.07974	21	0	7
2023.12.05	23:47:00	1.07973	1.07975	1.07971	1.07972	8	0	9
2023.12.05	23:48:00	1.07970	1.07973	1.07970	1.07972	4	0	9
2023.12.05	23:49:00	1.07973	1.07976	1.07970	1.07970	13	0	5
2023.12.05	23:50:00	1.07971	1.07971	1.07966	1.07969	23	0	9
2023.12.05	23:51:00	1.07969	1.07971	1.07969	1.07971	9	0	9
